Evaluation started at 2025-05-27 08:49:16

Image: enter_2024_11_09_20_37_09.jpg, pred_boxes=[(1370, 355, 105, 35)], pred_scores=['1.0000'], Avg IoU=0.9038
Image: enter_2024_11_10_09_22_52.jpg, pred_boxes=[(1245, 0, 155, 115)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: enter_2024_11_10_09_52_06.jpg, pred_boxes=[(1520, 395, 90, 35)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: enter_2024_11_10_09_55_30.jpg, pred_boxes=[(1275, 190, 215, 40)], pred_scores=['1.0000'], Avg IoU=0.0158
Image: enter_2024_11_09_20_47_05.jpg, pred_boxes=[(1490, 195, 110, 40)], pred_scores=['1.0000'], Avg IoU=0.7345
Image: enter_2024_11_10_09_31_07.jpg, pred_boxes=[(1350, 335, 100, 35)], pred_scores=['1.0000'], Avg IoU=0.9524
Image: enter_2024_11_10_09_37_40.jpg, pred_boxes=[(1765, 270, 85, 55)], pred_scores=['1.0000'], Avg IoU=0.8776
Image: enter_2024_11_10_09_43_42.jpg, pred_boxes=[(1335, 130, 105, 35)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: enter_2024_11_10_09_58_08.jpg, pred_boxes=[(1665, 40, 90, 85)], pred_scores=['0.9735'], Avg IoU=0.0000
Image: enter_2024_11_10_11_50_58.jpg, pred_boxes=[(1460, 205, 100, 35)], pred_scores=['1.0000'], Avg IoU=0.8629
Image: enter_2024_11_10_12_04_54.jpg, pred_boxes=[(1590, 220, 105, 35)], pred_scores=['1.0000'], Avg IoU=0.8537
Image: enter_2024_11_10_10_55_16.jpg, pred_boxes=[(1980, 255, 70, 60)], pred_scores=['0.9665'], Avg IoU=0.0000
Image: enter_2024_11_10_12_02_36.jpg, pred_boxes=[(630, 0, 115, 40)], pred_scores=['0.9645'], Avg IoU=0.0000
Image: enter_2024_11_10_13_21_08.jpg, pred_boxes=[(1490, 210, 100, 35)], pred_scores=['1.0000'], Avg IoU=0.9014
Image: enter_2024_11_10_12_27_26.jpg, pred_boxes=[(1370, 210, 90, 30)], pred_scores=['1.0000'], Avg IoU=0.8435
Image: enter_2024_11_10_13_44_28.jpg, pred_boxes=[(1490, 210, 100, 35)], pred_scores=['1.0000'], Avg IoU=0.8326
Image: enter_2024_11_10_14_07_52.jpg, pred_boxes=[(460, 120, 75, 60)], pred_scores=['0.9604'], Avg IoU=0.0000
Image: enter_2024_11_10_13_47_53.jpg, pred_boxes=[(1305, 215, 260, 40)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: enter_2024_11_10_14_26_09.jpg, pred_boxes=[(775, 65, 300, 115)], pred_scores=['0.9922'], Avg IoU=0.0000
Image: enter_2024_11_10_14_10_10.jpg, pred_boxes=[(35, 1235, 155, 60)], pred_scores=['0.9848'], Avg IoU=0.0000
Image: enter_2024_11_10_14_21_44.jpg, pred_boxes=[(380, 75, 125, 70)], pred_scores=['0.9137'], Avg IoU=0.0000
Image: enter_2024_11_10_14_16_15.jpg, pred_boxes=[(1470, 240, 205, 50)], pred_scores=['1.0000'], Avg IoU=0.4682
Image: enter_2024_11_10_15_06_58.jpg, pred_boxes=[(1090, 30, 125, 95)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: enter_2024_11_10_15_34_38.jpg, pred_boxes=[(1435, 200, 100, 30)], pred_scores=['1.0000'], Avg IoU=0.7825
Image: enter_2024_11_10_15_52_03.jpg, pred_boxes=[(445, 120, 90, 70)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: enter_2024_11_10_16_28_46.jpg, pred_boxes=[(795, 375, 175, 60)], pred_scores=['0.9787'], Avg IoU=0.0000
Image: enter_2024_11_10_16_31_21.jpg, pred_boxes=[(455, 120, 80, 70)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: enter_2024_11_10_16_34_50.jpg, pred_boxes=[(455, 120, 80, 75)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: enter_2024_11_10_17_42_02.jpg, pred_boxes=[(1450, 260, 280, 105)], pred_scores=['1.0000'], Avg IoU=0.0269
Image: enter_2024_11_10_16_41_55.jpg, pred_boxes=[(1860, 155, 90, 65)], pred_scores=['1.0000'], Avg IoU=0.9152
Image: enter_2024_11_10_16_45_24.jpg, pred_boxes=[(1095, 0, 100, 85)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: enter_2024_11_10_17_16_00.jpg, pred_boxes=[(1615, 230, 125, 40)], pred_scores=['1.0000'], Avg IoU=0.8396
Image: enter_2024_11_10_19_16_56.jpg, pred_boxes=[(1410, 210, 90, 35)], pred_scores=['1.0000'], Avg IoU=0.7725
Image: enter_2024_11_10_18_58_08.jpg, pred_boxes=[(1360, 315, 105, 30)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: enter_2024_11_10_20_14_41.jpg, pred_boxes=[(810, 80, 110, 55)], pred_scores=['0.9895'], Avg IoU=0.0000
Image: enter_2024_11_10_19_44_22.jpg, pred_boxes=[(1565, 85, 130, 35)], pred_scores=['0.9915'], Avg IoU=0.0000
Image: enter_2024_11_10_21_13_46.jpg, pred_boxes=[(2020, 390, 115, 50)], pred_scores=['0.9945'], Avg IoU=0.9526
Image: enter_2024_11_10_20_11_52.jpg, pred_boxes=[(810, 80, 110, 55)], pred_scores=['0.9895'], Avg IoU=0.0000
Image: enter_2024_11_10_20_26_43.jpg, pred_boxes=[(810, 80, 110, 55)], pred_scores=['0.9895'], Avg IoU=0.0000
Image: enter_2024_11_10_21_17_17.jpg, pred_boxes=[(1760, 370, 275, 65)], pred_scores=['1.0000'], Avg IoU=0.3655
Image: enter_2024_11_10_21_21_26.jpg, pred_boxes=[(415, 120, 125, 80)], pred_scores=['0.9840'], Avg IoU=0.0000
Image: enter_2024_11_10_21_19_57.jpg, pred_boxes=[(1385, 185, 90, 30)], pred_scores=['1.0000'], Avg IoU=0.7615
Image: enter_2024_11_10_21_35_53.jpg, pred_boxes=[(415, 120, 125, 80)], pred_scores=['0.9966'], Avg IoU=0.0000
Image: enter_2024_11_11_09_07_24.jpg, pred_boxes=[(1500, 255, 70, 45)], pred_scores=['1.0000'], Avg IoU=0.7469
Image: enter_2024_11_10_21_29_38.jpg, pred_boxes=[(1505, 200, 105, 35)], pred_scores=['1.0000'], Avg IoU=0.9358
Image: enter_2024_11_11_09_17_03.jpg, pred_boxes=[(1355, 190, 90, 35)], pred_scores=['1.0000'], Avg IoU=0.7825
Image: enter_2024_11_11_09_23_48.jpg, pred_boxes=[(2115, 250, 100, 80)], pred_scores=['0.9786'], Avg IoU=0.0000
Image: enter_2024_11_10_21_46_16.jpg, pred_boxes=[(1445, 225, 90, 30)], pred_scores=['1.0000'], Avg IoU=0.8344
Image: enter_2024_11_11_09_44_26.jpg, pred_boxes=[(1345, 125, 95, 35)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: enter_2024_11_11_10_26_09.jpg, pred_boxes=[(1515, 185, 80, 55)], pred_scores=['1.0000'], Avg IoU=0.6450
Image: enter_2024_11_11_10_31_02.jpg, pred_boxes=[(1515, 185, 80, 55)], pred_scores=['1.0000'], Avg IoU=0.6700
Image: enter_2024_11_11_10_39_25.jpg, pred_boxes=[(1275, 210, 60, 105)], pred_scores=['0.9786'], Avg IoU=0.0000
Image: enter_2024_11_11_11_05_11.jpg, pred_boxes=[(1625, 130, 90, 105)], pred_scores=['0.9634'], Avg IoU=0.0000
Image: enter_2024_11_11_11_07_42.jpg, pred_boxes=[(1140, 300, 80, 50)], pred_scores=['0.9954'], Avg IoU=0.7102
Image: enter_2024_11_11_11_30_50.jpg, pred_boxes=[(450, 120, 125, 75)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: enter_2024_11_11_11_38_31.jpg, pred_boxes=[(85, 75, 145, 70)], pred_scores=['0.9956'], Avg IoU=0.0000
Image: enter_2024_11_11_12_18_21.jpg, pred_boxes=[(35, 1240, 160, 55)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: enter_2024_11_11_12_11_44.jpg, pred_boxes=[(1515, 145, 85, 40)], pred_scores=['1.0000'], Avg IoU=0.7131
Image: enter_2024_11_11_12_24_46.jpg, pred_boxes=[(40, 1230, 155, 65)], pred_scores=['0.9644'], Avg IoU=0.0000
Image: enter_2024_11_11_12_34_39.jpg, pred_boxes=[(1535, 245, 195, 50)], pred_scores=['1.0000'], Avg IoU=0.4409
